discount_rate,growth_rate,horizon,universe_ve_pct,median_issuer_ve_pct,rank_correlation_vs_default
0.0600000,0.0200000,20,6.60891,7.67780,0.999452
0.0600000,0.0200000,30,8.43084,9.79440,0.999452
0.0600000,0.0200000,50,10.5151,12.2158,0.999452
0.0600000,0.0400000,20,7.80244,9.06437,0.999452
0.0600000,0.0400000,30,10.7209,12.4548,0.999452
0.0600000,0.0400000,50,15.1270,17.5735,0.999452
0.0600000,0.0600000,20,9.29401,10.7972,0.999452
0.0600000,0.0600000,30,13.9410,16.1958,0.999452
0.0600000,0.0600000,50,23.2350,26.9929,0.999452
0.0800000,0.0200000,20,5.59239,6.49687,0.999452
0.0800000,0.0200000,30,6.73189,7.82067,0.999452
0.0800000,0.0200000,50,7.73857,8.99016,0.999452
0.0800000,0.0400000,20,6.52547,7.58086,0.999452
0.0800000,0.0400000,30,8.34533,9.69506,0.999452
0.0800000,0.0400000,50,10.4486,12.1385,0.999452
0.0800000,0.0600000,20,7.68219,8.92466,0.999452
0.0800000,0.0600000,30,10.5715,12.2813,0.999452
0.0800000,0.0600000,50,14.9563,17.3752,0.999452
0.100000,0.0200000,20,4.79728,5.57317,0.999452
0.100000,0.0200000,30,5.51812,6.41058,0.999452
0.100000,0.0200000,50,6.01611,6.98911,0.999452
0.100000,0.0400000,20,5.53584,6.43117,0.999452
0.100000,0.0400000,30,6.68373,7.76472,0.999452
0.100000,0.0400000,50,7.71270,8.96011,0.999452
0.100000,0.0600000,20,6.44396,7.48617,0.999452
0.100000,0.0600000,30,8.26121,9.59733,0.999452
0.100000,0.0600000,50,10.3822,12.0614,0.999452
0.120000,0.0200000,20,4.16703,4.84099,0.999452
0.120000,0.0200000,30,4.62801,5.37652,0.999452
0.120000,0.0200000,50,4.87995,5.66920,0.999452
0.120000,0.0400000,20,4.75868,5.52832,0.999452
0.120000,0.0400000,30,5.49071,6.37874,0.999452
0.120000,0.0400000,50,6.00587,6.97723,0.999452
0.120000,0.0600000,20,5.48020,6.36653,0.999452
0.120000,0.0600000,30,6.63586,7.70911,0.999452
0.120000,0.0600000,50,7.68645,8.92961,0.999452
